,Station,Year,Month,Day,Hour,Temperature,Dew Point,Pressure,Wind Direction,Wind Speed,Sky Condition,Precipitation 6H
93,2003\010010,2003,1,4,22,-27,-54,10131,240,30,,
94,2003\010010,2003,1,4,23,-15,-27,10122,210,80,,
95,2003\010010,2003,1,5,0,-9,-16,10115,210,70,8,
96,2003\010010,2003,1,5,1,-3,-17,10108,260,60,,
97,2003\010010,2003,1,5,2,-12,-40,10103,280,100,,
98,2003\010010,2003,1,5,3,-28,-40,10086,290,200,,
99,2003\010010,2003,1,5,4,-26,-51,,290,140,,
100,2003\010010,2003,1,5,5,-19,-52,10103,270,70,,
101,2003\010010,2003,1,5,6,-20,-51,10100,260,50,6,
102,2003\010010,2003,1,5,7,-21,-54,10100,260,60,,
103,2003\010010,2003,1,5,8,-23,-54,10103,240,40,,
104,2003\010010,2003,1,5,9,-24,-57,10106,230,30,2,
105,2003\010010,2003,1,5,10,-24,-60,10108,230,40,,
106,2003\010010,2003,1,5,11,-25,-72,10108,270,30,,
107,2003\010010,2003,1,5,12,-19,-52,10103,270,90,6,0
108,2003\010010,2003,1,5,13,-11,-37,10104,250,50,,
109,2003\010010,2003,1,5,14,-3,-21,10103,260,50,,
110,2003\010010,2003,1,5,15,6,-16,10101,240,70,7,
111,2003\010010,2003,1,5,16,9,-12,10104,250,70,,
112,2003\010010,2003,1,5,17,13,-12,10102,250,80,,
113,2003\010010,2003,1,5,18,26,-18,10100,270,90,2,0
114,2003\010010,2003,1,5,19,29,-18,10098,280,140,,
115,2003\010010,2003,1,5,20,32,-10,10102,270,110,,
116,2003\010010,2003,1,5,21,30,-7,10104,260,70,,
117,2003\010010,2003,1,5,22,34,-5,10102,260,80,,
118,2003\010010,2003,1,5,23,28,-3,10104,260,70,,
119,2003\010010,2003,1,6,0,27,-3,10105,260,60,5,0
120,2003\010010,2003,1,6,1,25,1,10111,260,50,,
121,2003\010010,2003,1,6,2,20,0,10115,290,70,,
122,2003\010010,2003,1,6,3,18,-2,10113,240,30,,
123,2003\010010,2003,1,6,4,14,-4,10117,260,60,,
124,2003\010010,2003,1,6,5,2,-15,10120,10,30,,
125,2003\010010,2003,1,6,6,-11,-26,10128,30,40,8,
126,2003\010010,2003,1,6,7,-15,-28,10131,360,40,,
127,2003\010010,2003,1,6,8,-19,-40,10138,20,50,,
128,2003\010010,2003,1,6,9,-21,-46,10143,360,50,8,
129,2003\010010,2003,1,6,10,-22,-46,10150,340,40,,
130,2003\010010,2003,1,6,11,-20,-40,10152,280,20,,
131,2003\010010,2003,1,6,12,-20,-42,10155,10,10,7,
132,2003\010010,2003,1,6,13,-17,-48,10158,90,50,,
133,2003\010010,2003,1,6,14,-16,-45,10157,100,60,,
134,2003\010010,2003,1,6,15,-18,-47,10158,80,40,8,
135,2003\010010,2003,1,6,16,-22,-47,10158,40,20,,
136,2003\010010,2003,1,6,17,-22,-49,10160,40,20,,
137,2003\010010,2003,1,6,18,-20,-47,10159,110,50,8,
138,2003\010010,2003,1,6,20,-23,-45,10159,90,50,,
139,2003\010010,2003,1,6,21,-25,-44,10158,110,40,,
140,2003\010010,2003,1,6,22,-25,-41,10156,110,40,,
141,2003\010010,2003,1,6,23,-25,-40,10152,110,50,,
142,2003\010010,2003,1,7,0,-25,-39,10148,110,50,8,
143,2003\010010,2003,1,7,1,-23,-36,10142,110,40,,
144,2003\010010,2003,1,7,2,-21,-33,10139,130,40,,
145,2003\010010,2003,1,7,3,-22,-32,10134,30,20,,
146,2003\010010,2003,1,7,4,-22,-35,10131,250,50,,
147,2003\010010,2003,1,7,5,-21,-43,10124,240,40,,
148,2003\010010,2003,1,7,6,-21,-42,10119,260,30,5,
149,2003\010010,2003,1,7,7,-18,-39,10114,270,30,,
150,2003\010010,2003,1,7,8,-15,-35,10109,250,30,,
151,2003\010010,2003,1,7,9,-11,-31,10105,250,40,7,
152,2003\010010,2003,1,7,10,-9,-27,10104,240,30,,
153,2003\010010,2003,1,7,11,-10,-27,10098,230,40,,
154,2003\010010,2003,1,7,12,-8,-27,10090,260,20,7,
155,2003\010010,2003,1,7,13,-7,-25,10085,280,20,,
156,2003\010010,2003,1,7,14,-8,-28,10079,280,90,,
157,2003\010010,2003,1,7,15,-8,-23,10074,280,100,7,
158,2003\010010,2003,1,7,16,-16,-34,10070,300,140,,
159,2003\010010,2003,1,7,17,-20,-39,10072,310,140,,
160,2003\010010,2003,1,7,18,-27,-44,10079,310,130,6,
161,2003\010010,2003,1,7,19,-27,-46,10081,310,120,,
162,2003\010010,2003,1,7,20,-32,-54,10088,310,110,,
163,2003\010010,2003,1,7,21,-35,-55,10093,310,110,,
164,2003\010010,2003,1,7,22,-39,-58,10091,300,130,,
165,2003\010010,2003,1,7,23,-39,-56,10090,300,150,,
166,2003\010010,2003,1,8,0,-28,-73,10098,240,30,3,0
167,2003\010010,2003,1,8,1,-38,-59,10099,300,120,,
168,2003\010010,2003,1,8,2,-35,-68,10104,260,40,,
169,2003\010010,2003,1,8,3,-43,-77,10108,310,20,,
170,2003\010010,2003,1,8,4,-40,-85,10111,310,20,,
171,2003\010010,2003,1,8,5,-40,-65,10114,310,50,,
172,2003\010010,2003,1,8,6,-40,-63,10118,320,60,6,0
173,2003\010010,2003,1,8,7,-42,-68,,250,20,,
174,2003\010010,2003,1,8,9,-43,-65,10135,330,40,5,
175,2003\010010,2003,1,8,13,-54,-78,10150,290,20,,
176,2003\010010,2003,1,8,14,-54,-75,10153,290,20,,
177,2003\010010,2003,1,8,15,-46,-64,10156,270,40,7,
178,2003\010010,2003,1,8,16,-38,-60,10160,320,20,,
179,2003\010010,2003,1,8,17,-38,-60,10166,10,10,,
180,2003\010010,2003,1,8,19,-31,-55,10171,290,20,,
181,2003\010010,2003,1,8,20,-30,-53,10175,300,20,,
182,2003\010010,2003,1,8,21,-29,-52,10176,300,10,,
183,2003\010010,2003,1,8,22,-18,-41,10181,110,50,,
184,2003\010010,2003,1,8,23,-18,-43,10184,120,60,,
185,2003\010010,2003,1,9,0,-19,-45,10188,120,60,8,0
186,2003\010010,2003,1,9,1,-21,-51,,110,60,,
187,2003\010010,2003,1,9,2,-21,-52,10194,120,40,,
188,2003\010010,2003,1,9,3,-20,-51,10194,170,30,,
189,2003\010010,2003,1,9,4,-21,-51,10193,240,30,,
190,2003\010010,2003,1,9,5,-17,-48,10191,240,30,,
191,2003\010010,2003,1,9,6,-13,-45,10190,210,30,7,0
192,2003\010010,2003,1,9,7,-9,-46,10191,240,20,,
193,2003\010010,2003,1,9,8,-13,-48,10189,230,20,,
194,2003\010010,2003,1,9,9,-3,-38,10188,160,30,7,
195,2003\010010,2003,1,9,10,-2,-39,10188,100,20,,
196,2003\010010,2003,1,9,11,2,-37,10182,130,30,,
197,2003\010010,2003,1,9,12,5,-26,10178,180,20,7,0
198,2003\010010,2003,1,9,13,4,-26,10172,140,30,,
199,2003\010010,2003,1,9,14,4,-24,10166,150,30,,
200,2003\010010,2003,1,9,15,5,-19,10161,190,30,7,
201,2003\010010,2003,1,9,16,-3,-16,10158,250,20,,
202,2003\010010,2003,1,9,17,-13,-32,10151,260,20,,
203,2003\010010,2003,1,9,18,-14,-34,10149,230,10,7,0
204,2003\010010,2003,1,9,19,-16,-34,10145,40,20,,
205,2003\010010,2003,1,9,20,-12,-29,10140,40,20,,
206,2003\010010,2003,1,9,21,-4,-25,10140,340,40,,
207,2003\010010,2003,1,9,22,-3,-25,10136,40,20,,
208,2003\010010,2003,1,9,23,-2,-24,10139,10,30,,
209,2003\010010,2003,1,10,0,-3,-28,10134,360,30,7,0
210,2003\010010,2003,1,10,1,-8,-30,10132,20,30,,
211,2003\010010,2003,1,10,2,-7,-32,10127,350,50,,
212,2003\010010,2003,1,10,3,-10,-33,10127,340,60,,
213,2003\010010,2003,1,10,4,-15,-31,10124,350,70,,
214,2003\010010,2003,1,10,5,-21,-37,10121,350,90,,
215,2003\010010,2003,1,10,6,-22,-43,10122,340,90,8,
216,2003\010010,2003,1,10,7,-30,-46,10123,340,110,,
217,2003\010010,2003,1,10,8,-35,-52,10126,340,120,,
218,2003\010010,2003,1,10,9,-47,-66,10136,350,110,8,
219,2003\010010,2003,1,10,10,-54,-74,10146,350,100,,
220,2003\010010,2003,1,10,11,-67,-87,10153,350,100,,
221,2003\010010,2003,1,10,12,-71,-99,10157,340,100,7,5
222,2003\010010,2003,1,10,13,-79,-110,10165,350,110,,
223,2003\010010,2003,1,10,14,-85,-113,10159,350,130,,
224,2003\010010,2003,1,10,15,-90,-116,10157,340,120,7,
225,2003\010010,2003,1,10,16,-89,-116,10160,340,110,,
226,2003\010010,2003,1,10,17,-94,-120,10157,330,120,,
227,2003\010010,2003,1,10,18,-92,-123,10156,350,110,8,
228,2003\010010,2003,1,10,19,-91,-126,10153,350,120,,
229,2003\010010,2003,1,10,20,-86,-113,10154,350,90,,
230,2003\010010,2003,1,10,21,-83,-118,10148,350,100,,
231,2003\010010,2003,1,10,22,-78,-116,10151,350,110,,
232,2003\010010,2003,1,10,23,-76,-116,10145,350,120,,
233,2003\010010,2003,1,11,0,-65,-95,10140,350,110,7,
234,2003\010010,2003,1,11,1,-60,-87,10137,350,120,,
235,2003\010010,2003,1,11,2,-50,-67,10130,350,120,,
236,2003\010010,2003,1,11,3,-56,-82,10127,10,100,,
237,2003\010010,2003,1,11,4,-55,-80,10135,10,50,,
238,2003\010010,2003,1,11,5,-52,-73,10135,350,50,,
239,2003\010010,2003,1,11,6,-51,-82,10141,10,40,5,
240,2003\010010,2003,1,11,7,-49,-77,10138,270,20,,
241,2003\010010,2003,1,11,8,-42,-72,10136,310,50,,
242,2003\010010,2003,1,11,9,-40,-69,10137,300,60,8,
243,2003\010010,2003,1,11,10,-37,-67,10138,290,30,,
244,2003\010010,2003,1,11,11,-36,-59,10138,140,30,,
245,2003\010010,2003,1,11,12,-36,-50,10141,150,30,9,
246,2003\010010,2003,1,11,13,-31,-55,10138,100,60,,
247,2003\010010,2003,1,11,14,-31,-50,10133,90,70,,
248,2003\010010,2003,1,11,15,-32,-51,10128,100,70,8,
249,2003\010010,2003,1,11,16,-35,-56,10126,100,90,,
250,2003\010010,2003,1,11,17,-34,-54,10118,100,90,,
251,2003\010010,2003,1,11,18,-33,-51,10115,100,90,8,
252,2003\010010,2003,1,11,19,-35,-53,10110,100,90,,
253,2003\010010,2003,1,11,20,-35,-57,10099,100,90,,
254,2003\010010,2003,1,11,21,-35,-58,10092,90,80,,
255,2003\010010,2003,1,11,22,-36,-48,10078,90,90,,
256,2003\010010,2003,1,11,23,-30,-51,10065,90,100,,
257,2003\010010,2003,1,12,0,-32,-47,10054,80,100,8,
258,2003\010010,2003,1,12,1,-30,-43,10046,80,110,,
259,2003\010010,2003,1,12,2,-29,-36,10037,80,120,,
260,2003\010010,2003,1,12,3,-18,-46,10028,80,100,,
261,2003\010010,2003,1,12,4,-20,-55,10015,80,120,,
262,2003\010010,2003,1,12,5,-30,-50,10021,90,150,,
263,2003\010010,2003,1,12,6,-30,-62,10027,70,100,8,
264,2003\010010,2003,1,12,7,-43,-70,10029,10,90,,
265,2003\010010,2003,1,12,8,-57,-70,10032,20,130,,
266,2003\010010,2003,1,12,9,-71,-84,10048,20,190,9,
267,2003\010010,2003,1,12,10,-75,-97,10061,20,190,,
268,2003\010010,2003,1,12,11,-77,-112,10067,10,140,,
269,2003\010010,2003,1,12,12,-80,-120,10073,10,130,8,
270,2003\010010,2003,1,12,13,-81,-125,10085,10,110,,
271,2003\010010,2003,1,12,14,-86,-130,10087,20,130,,
272,2003\010010,2003,1,12,15,-93,-117,10095,10,110,7,
273,2003\010010,2003,1,12,16,-94,-127,10104,10,110,,
274,2003\010010,2003,1,12,17,-98,-120,10111,20,120,,
275,2003\010010,2003,1,12,18,-89,-142,10113,10,100,7,
276,2003\010010,2003,1,12,19,-93,-146,10119,20,100,,
277,2003\010010,2003,1,12,20,-93,-138,10119,360,100,,
278,2003\010010,2003,1,12,21,-94,-122,10122,10,80,,
279,2003\010010,2003,1,12,22,-90,-133,10127,20,60,,
280,2003\010010,2003,1,12,23,-91,-128,10126,20,70,,
281,2003\010010,2003,1,13,0,-91,-126,10117,360,60,7,
282,2003\010010,2003,1,13,1,-86,-141,10113,50,70,,
283,2003\010010,2003,1,13,2,-90,-120,10113,350,30,,
284,2003\010010,2003,1,13,3,-86,-135,10106,350,50,,
285,2003\010010,2003,1,13,4,-85,-139,10097,280,40,,
286,2003\010010,2003,1,13,5,-86,-135,10091,240,40,,
287,2003\010010,2003,1,13,6,-85,-129,10057,290,20,8,
288,2003\010010,2003,1,13,7,-86,-135,10074,20,30,,
289,2003\010010,2003,1,13,8,-83,-132,10067,20,20,,
290,2003\010010,2003,1,13,9,-76,-130,10060,150,20,8,
291,2003\010010,2003,1,13,10,-77,-124,10049,80,40,,
292,2003\010010,2003,1,13,11,-71,-117,10037,110,40,,
293,2003\010010,2003,1,13,12,-66,-110,10022,110,50,8,0
294,2003\010010,2003,1,13,13,-64,-106,10005,120,60,,
295,2003\010010,2003,1,13,14,-64,-99,9990,110,60,,
296,2003\010010,2003,1,13,15,-63,-87,9974,110,60,8,
297,2003\010010,2003,1,13,16,-63,-78,9958,90,70,,
298,2003\010010,2003,1,13,17,-56,-72,9937,100,70,,
299,2003\010010,2003,1,13,18,-51,-63,9921,100,70,8,
300,2003\010010,2003,1,13,19,-45,-55,9907,90,80,,
301,2003\010010,2003,1,13,20,-43,-55,9893,80,80,,
302,2003\010010,2003,1,13,21,-37,-47,9880,90,90,,
303,2003\010010,2003,1,13,22,-36,-47,9869,90,100,,
304,2003\010010,2003,1,13,23,-30,-51,9860,80,90,,
305,2003\010010,2003,1,14,0,-30,-46,9851,80,90,8,3
306,2003\010010,2003,1,14,1,-29,-54,9845,40,40,,
307,2003\010010,2003,1,14,2,-28,-47,9842,350,30,,
308,2003\010010,2003,1,14,3,-28,-48,9837,330,10,,
309,2003\010010,2003,1,14,4,-32,-47,9841,300,10,,
310,2003\010010,2003,1,14,5,-29,-47,9841,300,20,,
311,2003\010010,2003,1,14,6,-31,-53,9847,360,30,6,
312,2003\010010,2003,1,14,7,-31,-56,9850,300,30,,
313,2003\010010,2003,1,14,8,-31,-63,9855,360,90,,
314,2003\010010,2003,1,14,9,-33,-83,9865,10,80,7,
315,2003\010010,2003,1,14,10,-32,-88,9872,360,90,,
316,2003\010010,2003,1,14,11,-33,-94,9884,350,70,,
317,2003\010010,2003,1,14,12,-34,-90,9892,10,50,7,0
318,2003\010010,2003,1,14,13,-35,-92,9902,10,50,,
319,2003\010010,2003,1,14,14,-39,-98,9907,10,30,,
320,2003\010010,2003,1,14,15,-48,-108,9916,350,20,6,
321,2003\010010,2003,1,14,16,-49,-95,9917,10,10,,
322,2003\010010,2003,1,14,17,-36,-80,9923,110,50,,
323,2003\010010,2003,1,14,18,-38,-78,9925,100,60,7,0
324,2003\010010,2003,1,14,19,-41,-76,9930,100,60,,
325,2003\010010,2003,1,14,20,-44,-72,9933,100,50,,
326,2003\010010,2003,1,14,21,-45,-73,9936,90,60,,
327,2003\010010,2003,1,14,22,-46,-66,9940,90,90,,
328,2003\010010,2003,1,14,23,-57,-80,9945,80,110,,
329,2003\010010,2003,1,15,0,-76,-90,9943,20,120,9,
330,2003\010010,2003,1,15,1,-80,-94,9939,20,140,,
331,2003\010010,2003,1,15,2,-85,-97,9940,20,140,,
332,2003\010010,2003,1,15,3,-90,-101,9942,10,140,,
333,2003\010010,2003,1,15,4,-93,-110,9946,10,140,,
334,2003\010010,2003,1,15,5,102,-122,9946,360,150,,
335,2003\010010,2003,1,15,6,109,-137,9947,360,150,7,
336,2003\010010,2003,1,15,7,117,-152,9952,360,140,,
337,2003\010010,2003,1,15,8,127,-151,9955,360,120,,
338,2003\010010,2003,1,15,9,136,-152,9954,350,130,9,
339,2003\010010,2003,1,15,10,142,-177,9956,350,110,,
340,2003\010010,2003,1,15,11,145,-177,9953,360,110,,
341,2003\010010,2003,1,15,12,143,-176,9948,360,120,6,
342,2003\010010,2003,1,15,13,143,-162,9945,350,100,,
343,2003\010010,2003,1,15,14,147,-175,9942,350,110,,
344,2003\010010,2003,1,15,15,147,-165,9937,350,140,6,
345,2003\010010,2003,1,15,16,148,-165,9936,350,120,,
346,2003\010010,2003,1,15,17,147,-182,9933,360,120,,
347,2003\010010,2003,1,15,18,135,-158,9935,350,110,7,
348,2003\010010,2003,1,15,19,130,-160,9929,350,130,,
349,2003\010010,2003,1,15,20,122,-134,9929,350,130,,
350,2003\010010,2003,1,15,21,113,-125,9929,350,130,,
351,2003\010010,2003,1,15,22,106,-119,9936,350,130,,
352,2003\010010,2003,1,15,23,104,-122,9939,340,130,,
353,2003\010010,2003,1,16,0,104,-127,9940,350,130,7,5
354,2003\010010,2003,1,16,1,107,-132,9944,350,120,,
355,2003\010010,2003,1,16,2,,,,350,130,,
356,2003\010010,2003,1,16,3,110,-133,9950,340,130,,
357,2003\010010,2003,1,16,4,109,-152,9953,350,120,,
358,2003\010010,2003,1,16,5,110,-149,9957,340,90,,
359,2003\010010,2003,1,16,6,111,-159,9961,350,100,6,
360,2003\010010,2003,1,16,7,111,-149,9960,340,110,,
361,2003\010010,2003,1,16,8,111,-156,9963,340,100,,
362,2003\010010,2003,1,16,9,111,-138,9969,350,110,6,
363,2003\010010,2003,1,16,10,111,-138,9974,340,90,,
364,2003\010010,2003,1,16,11,112,-138,9974,350,90,,
365,2003\010010,2003,1,16,12,107,-132,9973,360,90,4,
366,2003\010010,2003,1,16,13,100,-134,9977,350,80,,
367,2003\010010,2003,1,16,14,-98,-135,9976,350,90,,
368,2003\010010,2003,1,16,15,-92,-122,9974,350,100,7,
369,2003\010010,2003,1,16,16,-89,-120,9974,360,90,,
370,2003\010010,2003,1,16,17,-89,-113,9971,350,110,,
371,2003\010010,2003,1,16,18,-84,-105,9971,360,100,7,
372,2003\010010,2003,1,16,19,-81,-109,9974,10,100,,
373,2003\010010,2003,1,16,20,-79,-100,9977,360,80,,
374,2003\010010,2003,1,16,21,-77,-100,9978,10,90,,
375,2003\010010,2003,1,16,22,-73,-97,9981,20,80,,
376,2003\010010,2003,1,16,23,-69,-102,9975,20,110,,
377,2003\010010,2003,1,17,0,-65,-95,9974,20,110,4,0
378,2003\010010,2003,1,17,1,-67,-94,9973,20,130,,
379,2003\010010,2003,1,17,2,-68,-91,9973,20,130,,
380,2003\010010,2003,1,17,3,-67,-89,9965,20,140,,
381,2003\010010,2003,1,17,4,-63,-88,9959,20,140,,
382,2003\010010,2003,1,17,5,-65,-73,9953,30,110,,
383,2003\010010,2003,1,17,6,-65,-73,9946,20,130,9,
384,2003\010010,2003,1,17,7,-64,-72,9943,40,100,,
385,2003\010010,2003,1,17,8,-67,-84,9938,50,90,,
386,2003\010010,2003,1,17,9,-55,-75,9936,20,60,7,
387,2003\010010,2003,1,17,10,-54,-89,9937,30,80,,
388,2003\010010,2003,1,17,11,-56,-84,9937,40,110,,
389,2003\010010,2003,1,17,12,-54,-79,9936,40,120,8,
390,2003\010010,2003,1,17,13,-56,-71,9931,30,120,,
391,2003\010010,2003,1,17,14,-56,-75,9924,20,130,,
392,2003\010010,2003,1,17,15,-59,-69,9920,20,140,8,
393,2003\010010,2003,1,17,16,-50,-89,9921,20,70,,
394,2003\010010,2003,1,17,17,-60,-81,9924,20,160,,
395,2003\010010,2003,1,17,18,-58,-81,9932,20,150,7,
396,2003\010010,2003,1,17,19,-44,-93,9939,310,40,,
397,2003\010010,2003,1,17,20,-45,-94,9945,30,80,,
398,2003\010010,2003,1,17,21,-47,-96,9952,20,90,,
399,2003\010010,2003,1,17,22,-51,-95,9959,30,110,,
400,2003\010010,2003,1,17,23,-53,-95,9965,20,110,,
401,2003\010010,2003,1,18,0,-58,-92,9976,30,130,5,
402,2003\010010,2003,1,18,1,,,,20,120,,
403,2003\010010,2003,1,18,2,-56,-108,9993,20,130,,
404,2003\010010,2003,1,18,4,-59,-112,10015,20,90,,
405,2003\010010,2003,1,18,5,-61,-116,10024,30,100,,
406,2003\010010,2003,1,18,6,-56,-124,10028,20,120,6,
407,2003\010010,2003,1,18,7,-59,-131,10041,40,110,,
408,2003\010010,2003,1,18,8,-54,-119,10048,30,100,,
409,2003\010010,2003,1,18,9,-53,-122,10056,20,90,5,
410,2003\010010,2003,1,18,10,-53,-87,10061,360,70,,
411,2003\010010,2003,1,18,11,-58,-95,10068,360,60,,
412,2003\010010,2003,1,18,12,-57,-93,10071,350,60,,
413,2003\010010,2003,1,18,13,-58,-93,10078,360,60,,
414,2003\010010,2003,1,18,14,-57,-91,10083,360,70,,
415,2003\010010,2003,1,18,15,-61,-90,10087,360,70,6,
416,2003\010010,2003,1,18,16,-55,-100,10094,10,70,,
417,2003\010010,2003,1,18,17,-57,-94,10101,350,70,,
418,2003\010010,2003,1,18,18,-60,-107,10107,10,80,6,
419,2003\010010,2003,1,18,19,-62,-113,10111,360,80,,
